,Identificação do dado,Data,Horário,Umidade média do solo(%)
,1,13/10/2025,12:00,30
,2,13/10/2025,13:00,35
,3,13/10/2025,14:00,40
,4,13/10/2025,15:00,45
,5,13/10/2025,16:00,50
,6,13/10/2025,17:00,55
,7,13/10/2025,18:00,60
,8,13/10/2025,19:00,65
,9,13/10/2025,20:00,70
,10,13/10/2025,21:00,65
,11,13/10/2025,22:00,60
,12,13/10/2025,23:00,55
,13,13/10/2025,00:00,50
,14,14/10/2025,01:00,45
,15,14/10/2025,02:00,40
,16,14/10/2025,03:00,35
,17,14/10/2025,04:00,30
,18,14/10/2025,05:00,30
,19,14/10/2025,06:00,35
,20,14/10/2025,07:00,40
,21,14/10/2025,08:00,45
,22,14/10/2025,09:00,50
,23,14/10/2025,10:00,55
,24,14/10/2025,11:00,60
,25,14/10/2025,12:00,65
,26,14/10/2025,13:00,70
,27,14/10/2025,14:00,65
,28,14/10/2025,15:00,60
,29,14/10/2025,16:00,55
,30,14/10/2025,17:00,50
,31,14/10/2025,18:00,45
,32,14/10/2025,19:00,40
,33,14/10/2025,20:00,35
,34,14/10/2025,21:00,30
,35,14/10/2025,22:00,30
,36,14/10/2025,23:00,35
,37,14/10/2025,00:00,40
,38,15/10/2025,01:00,45
,39,15/10/2025,02:00,50
,40,15/10/2025,03:00,55
,41,15/10/2025,04:00,60
,42,15/10/2025,05:00,65
,43,15/10/2025,06:00,70
,44,15/10/2025,07:00,65
,45,15/10/2025,08:00,60
,46,15/10/2025,09:00,55
,47,15/10/2025,10:00,50
,48,15/10/2025,11:00,45
,49,15/10/2025,12:00,40
,50,15/10/2025,13:00,35
,51,15/10/2025,14:00,30
,52,15/10/2025,15:00,30
,53,15/10/2025,16:00,35
,54,15/10/2025,17:00,40
,55,15/10/2025,18:00,45
,56,15/10/2025,19:00,50
,57,15/10/2025,20:00,55
,58,15/10/2025,21:00,60
,59,15/10/2025,22:00,65
,60,15/10/2025,23:00,70
,61,15/10/2025,00:00,65
,62,16/10/2025,01:00,60
,63,16/10/2025,02:00,55
,64,16/10/2025,03:00,50
,65,16/10/2025,04:00,45
,66,16/10/2025,05:00,40
,67,16/10/2025,06:00,35
,68,16/10/2025,07:00,30
,69,16/10/2025,08:00,30
,70,16/10/2025,09:00,35
,71,16/10/2025,10:00,40
,72,16/10/2025,11:00,45
,73,16/10/2025,12:00,50
,74,16/10/2025,13:00,55
,75,16/10/2025,14:00,60
,76,16/10/2025,15:00,65
,77,16/10/2025,16:00,70
,78,16/10/2025,17:00,65
,79,16/10/2025,18:00,60
,80,16/10/2025,19:00,55
,81,16/10/2025,20:00,50
,82,16/10/2025,21:00,45
,83,16/10/2025,22:00,40
,84,16/10/2025,23:00,35
,85,17/102025,00:00,30
,86,17/102025,01:00,30
,87,17/102025,02:00,35
,88,17/102025,03:00,40
,89,17/102025,01:00,45
,90,17/102025,02:00,50
,91,17/102025,03:00,55
,92,17/102025,04:00,60
,93,17/102025,05:00,65
,94,17/102025,06:00,70
,95,17/102025,07:00,65
,96,17/102025,08:00,60
,97,17/102025,09:00,55
,98,17/102025,10:00,50
,99,17/102025,11:00,45
,100,17/102025,12:00,40
,101,17/102025,13:00,35
,102,17/102025,14:00,30
,103,17/102025,15:00,30
,104,17/102025,16:00,35
,105,17/102025,17:00,40
,106,17/102025,18:00,45
,107,17/102025,19:00,50
,108,17/102025,20:00,55
,109,17/102025,21:00,60
,110,17/102025,22:00,65
,111,17/102025,23:00,70
,112,18/10/2025,00:00,65
,113,18/10/2025,01:00,60
,114,18/10/2025,02:00,55
,115,18/10/2025,03:00,50
,116,18/10/2025,04:00,45
,117,18/10/2025,05:00,40
,118,18/10/2025,06:00,35
,119,18/10/2025,07:00,30
,120,18/10/2025,08:00,30
,121,18/10/2025,09:00,35
,122,18/10/2025,10:00,40
,123,18/10/2025,11:00,45
,124,18/10/2025,12:00,50
,125,18/10/2025,13:00,55
,126,18/10/2025,14:00,60
,127,18/10/2025,15:00,65
,128,18/10/2025,16:00,70
,129,18/10/2025,17:00,65
,130,18/10/2025,18:00,60
,131,18/10/2025,19:00,55
,132,18/10/2025,20:00,50
,133,18/10/2025,21:00,45
,134,18/10/2025,22:00,40
,135,18/10/2025,23:00,35
,136,19/10/2025,00:00,30
,137,19/10/2025,01:00,30
,138,19/10/2025,02:00,35
,139,19/10/2025,03:00,40
,140,19/10/2025,04:00,45
,141,19/10/2025,05:00,50
,142,19/10/2025,06:00,55
,143,19/10/2025,07:00,60
,144,19/10/2025,08:00,65
,145,19/10/2025,09:00,70
,146,19/10/2025,10:00,65
,147,19/10/2025,11:00,60
,148,19/10/2025,12:00,55
,149,19/10/2025,13:00,50
,150,19/10/2025,14:00,45
,151,19/10/2025,15:00,40
,152,19/10/2025,16:00,35
,153,19/10/2025,17:00,30
,154,19/10/2025,18:00,30
,155,19/10/2025,19:00,35
,156,19/10/2025,20:00,40
,157,19/10/2025,21:00,45
,158,19/10/2025,22:00,50
,159,19/10/2025,23:00,55
,160,20/10/2025,00:00,60
,161,20/10/2025,01:00,65
,162,20/10/2025,02:00,70
,163,20/10/2025,03:00,65
,164,20/10/2025,04:00,60
,165,20/10/2025,05:00,55
,166,20/10/2025,06:00,50
,167,20/10/2025,07:00,45
,168,20/10/2025,08:00,40
,169,20/10/2025,09:00,35
,170,20/10/2025,10:00,30
,171,20/10/2025,11:00,30
,172,20/10/2025,12:00,35
,173,20/10/2025,13:00,40
,174,20/10/2025,14:00,45
,175,20/10/2025,15:00,50
,176,20/10/2025,16:00,55
,177,20/10/2025,17:00,60
,178,20/10/2025,18:00,65
,179,20/10/2025,19:00,70
,180,20/10/2025,20:00,65
,181,20/10/2025,21:00,60
,182,20/10/2025,22:00,55
,183,20/10/2025,23:00,50
,184,21/10/2025,00:00,45
,185,21/10/2025,01:00,40
,186,21/10/2025,02:00,35
,187,21/10/2025,03:00,30
,188,21/10/2025,01:00,30
,189,21/10/2025,02:00,35
,190,21/10/2025,03:00,40
,191,21/10/2025,04:00,45
,192,21/10/2025,05:00,50
,193,21/10/2025,06:00,55
,194,21/10/2025,07:00,60
,195,21/10/2025,08:00,65
,196,21/10/2025,09:00,70
,197,21/10/2025,10:00,65
,198,21/10/2025,11:00,60
,199,21/10/2025,12:00,55
,200,21/10/2025,13:00,50
,201,21/10/2025,14:00,45
,202,21/10/2025,15:00,40
,203,21/10/2025,16:00,35
,204,21/10/2025,17:00,30
,205,21/10/2025,18:00,30
,206,21/10/2025,19:00,35
,207,21/10/2025,20:00,40
,208,21/10/2025,21:00,45
,209,21/10/2025,22:00,50
,210,21/10/2025,23:00,55
,211,22/10/2025,00:00,60
,212,22/10/2025,01:00,65
,213,22/10/2025,02:00,70
,214,22/10/2025,03:00,65
,215,22/10/2025,04:00,60
,216,22/10/2025,05:00,55
,217,22/10/2025,06:00,50
,218,22/10/2025,07:00,45
,219,22/10/2025,08:00,40
,220,22/10/2025,09:00,35
,221,22/10/2025,10:00,30
,222,22/10/2025,11:00,30
,223,22/10/2025,12:00,35
,224,22/10/2025,13:00,40
,225,22/10/2025,14:00,45
,226,22/10/2025,15:00,50
,227,22/10/2025,16:00,55
,228,22/10/2025,17:00,60
,229,22/10/2025,18:00,65
,230,22/10/2025,19:00,70
,231,22/10/2025,20:00,65
,232,22/10/2025,21:00,60
,233,22/10/2025,22:00,55
,234,22/10/2025,23:00,50
,235,23/10/2025,00:00,45
,236,23/10/2025,01:00,40
,237,23/10/2025,02:00,35
,238,23/10/2025,03:00,30
,239,23/10/2025,04:00,30
,240,23/10/2025,05:00,35
,241,23/10/2025,06:00,40
,242,23/10/2025,07:00,45
,243,23/10/2025,08:00,50
,244,23/10/2025,09:00,55
,245,23/10/2025,10:00,60
,246,23/10/2025,11:00,65
,247,23/10/2025,12:00,70
,248,23/10/2025,13:00,65
,249,23/10/2025,14:00,60
,250,23/10/2025,15:00,55
,251,23/10/2025,16:00,50
,252,23/10/2025,17:00,45
,253,23/10/2025,18:00,40
,254,23/10/2025,19:00,35
,255,23/10/2025,20:00,30
,256,23/10/2025,21:00,30
,257,23/10/2025,22:00,35
,258,23/10/2025,23:00,40
